xor  {1 : 10}  v=0  d=1;0.0010586;0.00102327;0.0010586;0.00102327;100;0;100;0;882
xor  {1 : 50}  v=0  d=1;0.00397204;0.00703959;0.00397204;0.00703959;100;0;100;0;782.4
xor  {1 : 5}  v=0  d=1;0.0485758;0.0960319;0.0485758;0.0960319;95;10;95;10;1000
xor  {1 : 75}  v=0  d=1;0.00072708;0.000619359;0.00072708;0.000619359;100;0;100;0;876.8
xor  {2 : 10}  v=0  d=1;0.116051;0.145013;0.116051;0.145013;85;20;85;20;813.4
xor  {2 : 50}  v=0  d=1;0.0946186;0.117677;0.0946186;0.117677;95;10;95;10;634
xor  {2 : 5}  v=0  d=1;0.109762;0.143022;0.109762;0.143022;85;20;85;20;667
xor  {2 : 75}  v=0  d=1;0.0890683;0.123326;0.0890683;0.123326;95;10;95;10;487.6
