nomnist: {k = False _ L2 = False _ } _ r = 0.05 _ e = 0.0000100000;0.098095;0.000373;0.097164;0.000432;88.64;0.82;89.60;0.83;45;0;5.81981
nomnist: {k = False _ L2 = False _ } _ r = 0.10 _ e = 0.0000100000;0.090939;0.000760;0.095674;0.000658;95.78;0.53;86.87;0.98;90;0;61.43597
nomnist: {k = False _ L2 = False _ } _ r = 0.20 _ e = 0.0000100000;0.084297;0.000030;0.094831;0.000589;100.00;0.00;87.27;0.77;180;0;41.36756
nomnist: {k = False _ L2 = False _ } _ r = 0.25 _ e = 0.0000100000;0.084211;0.000020;0.094913;0.000313;100.00;0.00;86.33;0.99;225;0;31.32300
nomnist: {k = False _ L2 = False _ } _ r = 0.50 _ e = 0.0000100000;0.084124;0.000010;0.094124;0.000484;100.00;0.00;86.93;0.83;450;0;25.84085
