iris: {k = False _ L2 = True _ } _ r = 0.05 _ e = 0.0100000000;0.108039;0.002456;0.113201;0.002520;93.93;1.54;91.58;1.97;5;0;0.09935
iris: {k = False _ z = True} _ r = 0.05;0.643305;0.014668;0.749485;0.149383;37.68;3.31;27.37;17.82;5;0;0.05327
nomnist: {k = False _ L2 = True _ } _ r = 0.05 _ e = 0.0010000000;0.099221;0.000332;0.097946;0.000327;87.69;0.83;90.47;0.62;45;0;3.18336
nomnist: {k = False _ z = True} _ r = 0.05;2.777483;0.018758;2.998293;0.159365;17.31;0.96;17.27;1.97;45;0;2.83962
vote: {k = False _ L2 = True _ } _ r = 0.05 _ e = 0.0100000000;0.046012;0.005820;0.053211;0.003670;95.40;0.58;94.68;0.37;16;0;0.08610
vote: {k = False _ z = True} _ r = 0.05;0.225334;0.003203;0.233176;0.023335;38.71;0.12;38.53;0.00;16;0;0.07055
