parkinsons: {k = False _ z = False} _ r = 0.01;0.049316;0.000057;0.050928;0.002316;44;0.77378
parkinsons: {k = False _ z = False} _ r = 0.02;0.048787;0.000133;0.051610;0.002491;88;0.99991
parkinsons: {k = False _ z = False} _ r = 0.03;0.048300;0.000178;0.052138;0.002343;132;1.49024
parkinsons: {k = False _ z = False} _ r = 0.04;0.047817;0.000237;0.052451;0.002300;176;1.64732
parkinsons: {k = False _ z = False} _ r = 0.05;0.047350;0.000221;0.053247;0.002359;220;1.70514
